DateTime,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
23-06-14 3:43,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.2
23-06-14 3:43,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.1
23-06-14 3:47,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.3
24-06-14 0:14,21,2,21:02,Cable twisted : Right (2-3 turns),1,FALSE,FALSE,2.2
24-06-14 0:52,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,3.1
24-06-14 0:55,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.9
24-06-14 0:55,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.7
24-06-14 0:58,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.5
24-06-14 8:05,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.9
24-06-14 9:39,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.6
24-06-14 9:39,0,1,0:01,Turbine starting,1,FALSE,FALSE,1.6
24-06-14 9:43,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.6
24-06-14 17:16,67,604,67 : 604,Overtemperature : Power choke inverter 4,6,FALSE,FALSE,4.9
24-06-14 17:16,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.9
24-06-14 17:19,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.1
24-06-14 17:20,0,0,0:00,Turbine in operation,1,FALSE,FALSE,4.7
25-06-14 2:30,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
25-06-14 4:12,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.5
25-06-14 4:12,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.4
25-06-14 4:16,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.4
25-06-14 12:43,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,7.7
25-06-14 12:48,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.2
25-06-14 12:49,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.7
25-06-14 21:59,228,100,228 : 100,Timeout warnmessage : Malfunction aircooling,6,FALSE,TRUE,8.2
25-06-14 22:05,222,3,222:03:00,Turbine reset : Scada system,6,FALSE,FALSE,2.3
25-06-14 22:05,60,2,60:02:00,Mains failure : Start delay,3,FALSE,FALSE,3
25-06-14 22:06,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.5
25-06-14 22:08,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.9
25-06-14 22:09,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,2.9
25-06-14 22:12,0,1,0:01,Turbine starting,1,FALSE,FALSE,6.6
25-06-14 22:13,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10.5
26-06-14 5:09,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
26-06-14 5:51,0,2,0:02,Turbine operational,1,FALSE,FALSE,3
26-06-14 5:51,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.2
26-06-14 5:55,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.9
27-06-14 0:31,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.9
27-06-14 1:20,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.1
27-06-14 1:20,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.1
27-06-14 1:23,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.7
27-06-14 11:47,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.2
27-06-14 11:53,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.8
27-06-14 11:53,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.6
27-06-14 11:56,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.4
27-06-14 15:12,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.3
27-06-14 15:51,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.1
27-06-14 15:51,0,1,0:01,Turbine starting,1,FALSE,FALSE,3.6
27-06-14 15:52,0,0,0:00,Turbine in operation,1,FALSE,FALSE,5
27-06-14 18:47,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.5
27-06-14 19:45,21,2,21:02,Cable twisted : Right (2-3 turns),1,FALSE,FALSE,3.4
